ID,title,stock,author,genre,publicationYear,price
1,Wuthering Heights,100,Emily Bronte,Gothic fiction,1847,9.99
2,Jane Eyre,500,Charlotte Bronte,Gothic fiction,1847,8.99
3,Pride and Prejudice,200,Jane Austen,Romance,1813,7.99
4,To Kill a Mockingbird,300,Harper Lee,Southern Gothic,1960,10.99
5,The Great Gatsby,400,F. Scott Fitzgerald,Modernist,1925,12.99
6,1984,250,George Orwell,Dystopian,1949,11.99
7,The Catcher in the Rye,150,J.D. Salinger,Coming-of-age,1951,9.49
8,Moby-Dick,350,Herman Melville,Adventure,1851,13.49
9,The Lord of the Rings,450,J.R.R. Tolkien,High Fantasy,1954,15.99
10,To the Lighthouse,200,Virginia Woolf,Modernist,1927,8.49
